Pick,Team,To,Player,Pos,Age,School,40-Yard Dash,Vertical Jump,Broad Jump,20-Yard Shuttle,Bench Press,G,AP1,PB,St
157,CIN,2.0,Richard Fain,DB,23,Florida,4.62,34.0,113,4.06,,24,0,0,0
158,PIT,6.0,Leroy Thompson,RB,22,Penn State,4.60,32.5,112,4.13,13,80,0,0,0
159,WAS,,Dennis Ransom,TE,,Texas A&M,5.08,30.5,111,4.56,14,,0,0,0
163,MIN,7.0,Todd Scott,DB,23,Southwestern Louisiana,4.65,33.0,115,4.02,14,83,0,1,4
166,BUF,,Millard Hamilton,WR,,Clemson,4.59,36.5,117,4.34,,,0,0,0
171,PHO,2.0,Ivory Lee Brown,RB,22,Arkansas-Pine Bluff,4.70,36.0,121,4.78,7,7,0,0,0
172,ATL,3.0,Brian Mitchell,DB,22,Brigham Young,4.58,33.0,115,4.17,,36,0,0,0
177,SDG,2.0,David Jones,TE,22,Delaware State,4.57,36.5,121,4.44,,16,0,0,0
178,DET,,Franklin Thomas,TE,,Grambling State,5.02,31.0,106,4.77,19,,0,0,0
181,IND,,James Bradley,WR,,Michigan State,4.56,37.0,127,3.97,,,0,0,0
188,WAS,6.0,Keith Cash,TE,22,Texas,4.74,33.0,118,4.52,,64,0,0,1
190,CHI,9.0,Paul Justin,QB,23,Arizona State,5.04,27.5,104,4.36,,34,0,0,0
191,MIA,5.0,Chris Green,DB,23,Illinois,4.65,30.5,101,4.14,18,66,0,0,0
193,SFO,2.0,Sheldon Canley,RB,23,San Jose State,4.65,31.0,113,4.35,18,1,0,0,0
194,BUF,,Amir Rasul,RB,,Florida A&M,4.57,33.0,118,4.28,23,,0,0,0
195,NYG,,Simmie Carter,DB,,Southern Mississippi,4.78,31.5,119,4.28,13,,0,0,0
199,ATL,,Randy Austin,TE,,UCLA,4.96,31.0,113,4.59,17,,0,0,0
200,DEN,2.0,Kenny Walker,DE,24,Nebraska,4.89,31.5,115,4.29,18,31,0,0,1
203,GNB,,Johnny Walker,WR,,Texas,4.73,33.0,118,4.21,,,0,0,0
204,PHO,5.0,Jerry Evans,TE,22,Toledo,4.92,28.0,99,4.46,30,43,0,0,1
205,DET,1.0,Cedric Jackson,RB,23,Texas Christian,4.68,31.5,115,4.30,25,8,0,0,0
208,IND,,Tim Bruton,TE,,Missouri,5.05,,,,16,,0,0,0
210,NOR,10.0,Frank Wainright,TE,23,Northern Colorado,4.85,31.5,112,4.30,22,121,0,0,0
211,CIN,1.0,Mike Dingle,RB,22,South Carolina,4.85,31.0,106,4.71,,8,0,0,0
214,HOU,9.0,Gary Brown,RB,22,Penn State,4.75,29.0,111,4.65,17,99,0,0,3
215,WAS,13.0,Jimmy Spencer,DB,22,Florida,4.48,40.5,120,4.09,9,177,0,0,4
217,CHI,,Larry Horton,DB,,Texas A&M,4.64,37.5,116,4.01,4,,0,0,0
220,MIA,,Roland Smith,DB,,Miami (FL),4.70,32.5,115,4.26,8,,0,0,0
222,BUF,3.0,Brad Lamb,WR,23,Anderson,4.71,33.5,115,4.41,,8,0,0,0
226,ATL,10.0,Ernie Logan,NT,23,East Carolina,5.02,34.5,115,4.40,,119,0,0,2
228,RAM,5.0,Jeff Fields,DT,24,Arizona State,5.14,30.5,110,4.56,22,2,0,0,0
231,DET,1.0,Darryl Milburn,DE,22,Grambling State,4.71,36.0,111,4.57,22,2,0,0,0
232,MIN,,Gerald Hudson,RB,,Oklahoma State,4.60,30.0,107,4.10,23,,0,0,0
234,NYJ,,Paul Glonek,DT,,Arizona,4.99,33.5,118,3.99,23,,0,0,0
235,DAL,3.0,Damon Mays,WR,23,Missouri,4.49,34.5,117,4.25,,2,0,0,0
237,NOR,,Anthony Wallace,RB,,California,4.52,32.5,121,4.31,9,,0,0,0
240,HOU,13.0,Shawn Jefferson,WR,22,Central Florida,4.53,30.0,111,4.19,,195,0,0,7
242,PHI,1.0,Chuck Weatherspoon,RB,23,Houston,4.84,28.0,100,4.33,19,4,0,0,0
243,WAS,,Charles Bell,DB,,Baylor,4.58,31.0,113,4.34,6,,0,0,0
246,MIA,6.0,Scott Miller,WR,22,Rutgers,5.06,28.0,110,4.44,21,55,0,0,0
246,MIA,6.0,Scott Miller,WR,22,UCLA,4.62,31.5,113,4.33,,55,0,0,0
247,RAI,2.0,Tahaun Lewis,DB,22,Nebraska,4.46,34.5,118,4.16,6,9,0,0,0
250,NYG,,Jerry Bouldin,WR,,Mississippi State,4.54,34.0,118,4.01,,,0,0,0
253,DEN,,Curtis Mayfield,WR,,Oklahoma State,4.55,41.0,122,4.23,,,0,0,0
263,IND,1.0,Frank Giannetti,NT,23,Penn State,5.12,27.5,98,4.50,29,3,0,0,0
265,TAM,,Hyland Hickson,RB,,Michigan State,4.74,32.0,115,4.25,17,,0,0,0
272,CHI,,Tom Backes,DE,,Oklahoma,5.44,27.0,105,4.90,19,,0,0,0
273,KAN,,Eric Ramsey,DB,,Auburn,4.62,35.0,120,4.16,15,,0,0,0
274,RAI,10.0,Andrew Glover,TE,24,Grambling State,4.85,32.0,116,4.27,,154,0,0,5
281,RAM,5.0,Terry Crews,LB,23,Western Michigan,4.74,35.0,113,4.29,22,32,0,0,0
283,ATL,5.0,Joe Sims,T,22,Nebraska,5.07,30.0,103,4.56,19,53,0,0,1
285,DET,,Slip Watkins,KR,,LSU,4.44,34.0,118,4.37,,,0,0,0
287,TAM,,Mike Sunvold,DT,,Minnesota,5.09,26.0,108,4.41,22,,0,0,0
289,GNB,,J.J. Wierenga,DE,,Central Michigan,5.30,30.5,101,4.53,20,,0,0,0
291,DAL,,Tony Boles,RB,,Michigan,4.65,33.0,115,4.30,4,,0,0,0
294,HOU,,James Smith,DB,,Richmond,4.62,35.0,119,4.13,12,,0,0,0
295,CIN,,Chris Smith,TE,,Brigham Young,5.06,26.5,101,4.34,,,0,0,0
296,PIT,,Efrum Thomas,DB,,Alabama,4.70,30.5,111,4.31,8,,0,0,0
297,SEA,,Tony Stewart,RB,,Iowa,4.72,36.0,122,4.03,15,,0,0,0
300,KAN,6.0,Bobby Olive,WR,22,Ohio State,4.66,34.5,115,3.95,,2,0,0,0
304,SFO,,Bobby Slaughter,WR,,Louisiana Tech,4.67,33.5,113,4.32,,,0,0,0
307,NWE,2.0,Tim Edwards,DT,23,Delta State,5.28,27.0,95,4.58,12,14,0,0,0
309,PHO,,Jeff Bridewell,QB,,UC Davis,5.05,27.5,106,4.58,,,0,0,0
314,TAM,2.0,Al Chamblee,LB,22,Virginia Tech,4.93,32.5,108,4.26,22,22,0,0,0
316,GNB,,Linzy Collins,WR,,Missouri,4.70,30.5,108,4.30,,,0,0,0
317,SDG,1.0,Chris Samuels,RB,22,Texas,4.70,30.5,116,4.30,12,3,0,0,0
320,DAL,8.0,Larry Brown,DB,21,Texas Christian,4.63,30.0,114,4.34,15,95,0,0,5
327,PHI,,Darrell Beavers,DB,,Morehead State,4.63,38.5,124,4.35,20,,0,0,0
331,MIA,,Joe Brunson,DT,,Tennessee-Chattanooga,5.05,24.5,95,,23,,0,0,0
6,CIN,6.0,David Klingler,QB,23,Houston,4.82,32.5,111,4.01,,33,0,0,1
7,MIA,15.0,Troy Vincent,DB,22,Wisconsin,4.45,35.5,,,13,207,1,5,13
12,MIA,14.0,Marco Coleman,DE,22,Georgia Tech,5.18,29.0,116,4.44,18,207,0,1,12
14,NYG,8.0,Derek Brown,TE,22,Notre Dame,4.98,31.0,114,4.36,16,105,0,0,1
15,NYJ,5.0,Johnny Mitchell,TE,21,Nebraska,4.74,34.0,112,4.25,21,57,0,0,2
17,DAL,8.0,Kevin Smith,DB,22,Texas A&M,4.49,37.5,126,4.13,10,103,0,0,6
17,DAL,8.0,Kevin Smith,DB,22,UCLA,4.79,32.0,113,4.44,21,103,0,0,6
185,RAI,5.0,Kevin Smith,TE,23,Texas A&M,4.49,37.5,126,4.13,10,15,0,0,0
185,RAI,5.0,Kevin Smith,TE,23,UCLA,4.79,32.0,113,4.44,21,15,0,0,0
18,SFO,6.0,Dana Hall,DB,23,Washington,4.60,35.0,121,4.12,8,91,0,0,2
19,ATL,3.0,Tony Smith,RB,22,Southern Mississippi,4.64,31.0,120,4.04,,33,0,0,0
159,KAN,,Tony Smith,WR,,Southern Mississippi,4.64,31.0,120,4.04,,,0,0,0
21,NOR,4.0,Vaughn Dunbar,RB,24,Indiana,4.55,35.0,120,4.19,17,39,0,0,1
22,CHI,10.0,Alonzo Spellman,DE,20,Ohio State,5.02,31.5,113,4.37,24,123,0,0,5
26,DET,12.0,Robert Porcher,DE,23,South Carolina State,5.27,31.0,108,4.70,22,187,0,3,10
29,IND,13.0,Ashley Ambrose,DB,21,Mississippi Valley State,4.51,34.0,120,4.16,7,192,1,1,8
35,NWE,7.0,Rod Smith,DB,22,Notre Dame,4.52,36.0,121,4.01,11,102,0,0,1
36,DAL,14.0,Jimmy Smith,WR,23,Jackson State,4.58,35.0,120,4.14,,178,0,5,10
39,MIN,8.0,Robert Harris,DT,23,Southern,4.88,33.5,114,4.81,22,97,0,0,4
40,KAN,6.0,Matt Blundin,QB,23,Virginia,4.99,25.5,103,4.53,,3,0,0,0
46,PHO,1.0,Tony Sacca,QB,22,Penn State,4.86,29.5,107,4.21,,2,0,0,0
47,WAS,3.0,Shane Collins,DE,23,Arizona State,4.87,34.5,113,4.38,25,30,0,0,0
51,ATL,9.0,Chuck Smith,DE,22,Tennessee,4.85,30.0,110,,15,125,0,0,6
52,CLE,2.0,Patrick Rowe,WR,23,San Diego State,4.47,36.5,119,4.10,,5,0,0,0
54,DEN,10.0,Shane Dronett,DT,21,Texas,5.21,31.5,113,4.60,14,139,0,0,5
55,BUF,3.0,James Patton,NT,22,Texas,5.02,33.0,110,4.64,35,13,0,0,0
57,RAM,8.0,Marc Boutte,DT,23,LSU,5.14,29.5,96,4.81,16,102,0,0,5
58,DAL,4.0,Clayton Holmes,DB,23,Carson-Newman,4.55,33.5,118,4.20,13,39,0,0,0
60,RAM,7.0,Todd Kinchen,WR,23,LSU,4.61,31.5,109,4.02,,83,0,0,0
62,GNB,9.0,Robert Brooks,WR,22,South Carolina,4.64,37.0,126,4.18,,100,0,0,5
63,SDG,6.0,Ray Ethridge,WR,23,Pasedena City College,4.43,37.5,130,,,16,0,0,0
65,CLE,8.0,Bill Johnson,DT,23,Michigan State,5.16,29.0,,,,99,0,0,3
67,PIT,8.0,Joel Steed,NT,23,Colorado,5.22,,97,,22,115,0,1,7
69,NYG,8.0,Aaron Pierce,TE,23,Washington,4.76,35.5,115,4.44,,82,0,0,3
70,MIA,11.0,Larry Webster,DT,23,Maryland,5.18,31.5,109,4.75,23,136,0,0,2
72,NOR,7.0,Tyrone Legette,DB,22,Nebraska,4.52,36.0,122,4.39,,91,0,0,0
75,PHI,5.0,Tommy Jeter,DT,22,Texas,5.07,30.5,105,4.54,28,37,0,0,0
77,HOU,12.0,Corey Harris,DB,22,Vanderbilt,4.67,31.0,114,3.95,,183,0,0,6
79,TAM,7.0,Tyji Armstrong,TE,21,Mississippi,4.93,29.5,107,4.54,20,87,0,0,0
80,CHI,9.0,Jeremy Lincoln,DB,23,Tennessee,4.53,34.5,,,8,106,0,0,2
84,CIN,7.0,Leonard Wheeler,DB,23,Troy,4.59,37.0,122,,21,92,0,0,0
89,SFO,10.0,Mark Thomas,DE,23,North Carolina State,5.07,29.0,111,4.43,17,113,0,0,0
92,PHI,1.0,Tony Brooks,RB,23,Notre Dame,4.77,35.0,119,4.23,19,5,0,0,0
94,PIT,3.0,Charles Davenport,WR,23,North Carolina State,4.62,33.0,109,4.34,,38,0,0,0
98,MIN,9.0,Roy Barker,DE,23,North Carolina,5.21,22.5,109,4.74,18,118,0,0,6
99,NYG,12.0,Keith Hamilton,DT,21,Pittsburgh,5.12,29.5,99,4.41,12,173,0,0,10
101,KAN,1.0,Mike Evans,DT,25,Michigan,5.16,30.0,110,4.66,21,12,0,0,0
102,PHI,8.0,Casey Weldon,QB,23,Florida State,4.83,32.5,102,4.06,,26,0,0,0
103,GNB,8.0,Edgar Bennett,RB,23,Florida State,4.75,35.5,122,4.37,,112,0,0,5
107,CHI,4.0,Will Furrer,QB,24,Virginia Tech,4.88,32.0,106,4.46,,9,0,0,0
112,WAS,,Chris Hakel,QB,,William & Mary,5.17,23.5,102,4.79,,,0,0,0
115,CIN,2.0,Craig Thompson,TE,23,North Carolina A&T,4.91,26.5,98,4.79,16,29,0,0,0
123,PIT,4.0,Alan Haller,DB,22,Michigan State,4.53,34.5,116,4.21,11,12,0,0,0
126,NYG,,Michael Wright,DB,,Washington State,4.78,32.0,113,4.19,9,,0,0,0
129,PHI,2.0,Corey Barlow,DB,21,Auburn,4.72,34.0,120,4.13,11,10,0,0,0
132,TAM,10.0,Santana Dotson,DT,22,Baylor,5.03,28.5,109,4.62,17,152,0,0,9
134,CHI,1.0,Todd Harrison,TE,23,North Carolina State,5.11,24.0,109,4.63,17,1,0,0,0
135,HOU,4.0,Tony Brown,DB,22,Fresno State,4.67,34.0,117,4.17,9,57,0,0,0
136,HOU,4.0,Tim Roberts,DE,23,Southern Mississippi,5.60,23.0,94,4.80,21,37,0,0,1
137,DEN,2.0,Frank Robinson,DB,23,Boise State,4.73,32.5,115,4.18,14,31,0,0,0
138,NOR,10.0,Torrance Small,WR,22,Alcorn State,4.61,30.5,112,4.35,,133,0,0,3
141,IND,,Shoun Habersham,WR,,Tennessee-Chattanooga,4.42,36.5,116,3.99,,,0,0,0
142,CIN,,Chris Burns,DT,,Middle Tennessee State,5.23,27.0,106,4.73,13,,0,0,0
143,CLE,4.0,Rico Smith,WR,23,Colorado,4.35,35.0,129,4.22,,29,0,0,0
144,RAM,,Joe Campbell,RB,,Middle Tennessee State,4.77,37.5,120,4.56,11,,0,0,0
147,SDG,4.0,Reggie White,NT,22,North Carolina A&T,5.26,24.0,102,4.64,18,38,0,0,1
150,SEA,12.0,Michael Bates,RB,22,Arizona,4.48,34.5,124,,,145,1,5,0
153,NYG,4.0,Stacey Dillard,NT,23,Oklahoma,5.15,30.0,110,4.69,19,59,0,0,1
155,MIA,1.0,Roosevelt Collins,LB,24,Texas Christian,4.94,31.0,110,4.40,20,10,0,0,0
157,GNB,8.0,Mark Chmura,TE,23,Boston College,5.03,30.5,105,4.16,13,89,0,3,4
160,PHI,4.0,Jeff Sydner,WR,22,Hawaii,4.68,33.0,115,3.85,,41,0,0,0
161,CHI,,Mark Berry,DB,,Texas,4.69,33.0,116,4.25,3,,0,0,0
162,HOU,,Mario Bailey,WR,,Washington,4.62,35.0,123,4.18,,,0,0,0
163,CLE,,George Williams,DT,,Notre Dame,5.31,31.5,106,4.90,21,,0,0,0
164,NOR,,Kary Vincent,DB,,Texas A&M,4.53,36.5,120,4.28,1,,0,0,0
166,NYJ,14.0,Jeff Blake,QB,21,East Carolina,4.86,30.5,115,4.60,,119,0,1,8
167,BUF,4.0,Nate Turner,TE,23,Nebraska,4.63,30.5,121,3.95,,28,0,0,0
170,DEN,1.0,Ron Geater,DE,23,Iowa,5.25,26.0,105,4.56,18,3,0,0,0
173,RAI,,Curtis Cotton,DB,,Nebraska,4.55,41.0,127,3.90,17,,0,0,0
174,SDG,8.0,Deems May,TE,23,North Carolina,5.04,28.5,108,4.30,19,104,0,0,1
175,PHO,5.0,Derek Ware,TE,24,Central Oklahoma,4.71,34.5,117,4.24,23,58,0,0,1
176,NWE,,Wayne Hawkins,WR,,Southwest Minnesota,4.61,30.5,111,4.00,,,0,0,0
177,CLE,5.0,Selwyn Jones,DB,22,Colorado State,4.63,37.0,129,4.20,7,47,0,0,0
179,PIT,1.0,Russ Campbell,TE,23,Kansas State,5.11,29.5,107,4.34,20,7,0,0,0
189,HOU,,Elbert Turner,WR,,Illinois,4.55,36.0,123,3.98,,,0,0,0
191,MIA,15.0,Dave Moore,TE,22,Pittsburgh,5.18,27.0,103,4.39,14,220,0,1,5
192,CHI,,John Brown,WR,,Houston,4.59,35.0,127,4.18,,,0,0,0
193,DEN,,Jon Bostick,WR,,Nebraska,4.71,33.5,114,4.06,,,0,0,0
194,NWE,,Jim Gray,DT,,West Virginia,5.09,29.0,101,4.73,27,,0,0,0
195,BUF,10.0,Kurt Schulz,DB,23,Eastern Washington,4.59,33.5,117,4.06,21,129,0,0,7
196,WAS,,Calvin Holmes,DB,,Southern California,4.43,32.5,110,4.20,15,,0,0,0
197,IND,11.0,Jason Belser,DB,22,Oklahoma,4.74,37.0,119,4.41,9,173,0,0,8
199,CIN,3.0,Roosevelt Nix,DE,25,Central State,4.89,29.0,107,4.45,15,18,0,0,0
205,NWE,12.0,Sam Gash,FB,23,Penn State,4.79,33.5,113,4.16,16,177,0,2,5
211,NYG,10.0,Kent Graham,QB,23,Ohio State,5.14,27.5,103,4.21,,81,0,0,1
212,IND,4.0,Ronald Humphrey,RB,23,Mississippi Valley State,4.56,36.5,127,3.96,19,26,0,0,0
215,PIT,,Nate Williams,DT,,Mississippi State,5.44,27.5,106,4.76,21,,0,0,0
216,ATL,4.0,Derrick Moore,RB,24,Northeastern Oklahoma A&M,4.62,,,,20,42,0,0,1
217,ATL,,Reggie Dwight,TE,,Troy,5.28,31.0,112,4.47,17,,0,0,0
218,NOR,,Robert Stewart,DT,,Alabama,4.99,31.0,109,4.90,31,,0,0,0
219,NYJ,,Vincent Brownlee,WR,,Mississippi,4.67,32.5,118,4.08,,,0,0,0
221,DET,8.0,Willie Clay,DB,22,Georgia Tech,4.78,34.5,119,4.13,9,118,0,0,6
222,TAM,,Mike Pawlawski,QB,,California,4.89,29.5,112,4.46,,,0,0,0
223,BUF,3.0,Leonard Humphries,DB,22,Penn State,4.67,32.5,116,4.15,4,13,0,0,0
225,IND,2.0,Eddie Miller,WR,23,South Carolina,4.65,34.0,117,4.10,,15,0,0,0
226,CIN,2.0,Ostell Miles,RB,22,Houston,4.73,38.5,122,4.33,26,26,0,0,0
227,MIN,17.0,Brad Johnson,QB,23,Florida State,5.02,29.5,110,4.29,,177,0,2,8
228,RAM,4.0,T.J. Rubley,QB,23,Tulsa,4.88,27.0,,4.22,,10,0,0,0
229,PHO,,David Henson,DT,,Central Arkansas,5.02,27.5,103,4.66,31,,0,0,0
237,MIN,1.0,Ronnie West,WR,24,Pittsburgh State (KS),4.74,34.5,118,4.27,,12,0,0,0
238,NYG,7.0,Anthony Prior,DB,22,Washington State,4.62,34.0,118,4.23,16,59,0,0,0
239,PHO,2.0,Tyrone Williams,WR,22,Canada,4.75,34.5,114,4.40,,5,0,0,0
240,GNB,,Shazzon Bradley,DT,,Tennessee,5.13,30.5,115,4.57,25,,0,0,0
248,DAL,,Nate Kirtman,DB,,Pomona,4.62,30.0,116,4.15,,,0,0,0
255,RAM,8.0,Tim Lester,RB,24,Eastern Kentucky,4.80,33.0,114,4.46,13,93,0,0,3
260,CLE,,Marcus Lowe,DT,,Baylor,5.27,29.5,,,19,,0,0,0
261,NWE,,Turner Baur,TE,,Stanford,5.11,30.5,111,4.30,22,,0,0,0
262,PIT,,Mike Saunders,RB,,Iowa,4.83,31.0,109,4.20,10,,0,0,0
263,SEA,,Anthony Hamlet,DE,,Miami (FL),4.89,32.0,109,4.48,23,,0,0,0
265,NYG,,George Rooks,DT,,Syracuse,5.25,31.5,113,4.56,,,0,0,0
266,NYJ,2.0,Mario Johnson,DT,22,Missouri,5.37,28.0,98,4.61,23,20,0,0,0
269,SFO,4.0,Corey Mayfield,DT,22,Oklahoma,5.21,25.5,103,4.64,18,27,0,0,0
273,CHI,,Nikki Fisher,RB,,Virginia,4.66,32.0,115,4.26,15,,0,0,0
276,NOR,5.0,Marcus Dowdell,WR,22,Tennessee State,4.74,33.0,123,4.08,,41,0,0,0
279,BUF,2.0,Barry Rose,WR,24,Wisconsin-Steven's Point,4.65,28.5,112,4.18,,3,0,0,0
284,TAM,3.0,Mazio Royster,RB,22,Southern California,4.77,32.5,113,4.10,10,33,0,0,0
292,NYG,6.0,Nate Singleton,WR,24,Grambling State,4.72,31.5,114,4.29,,44,0,0,0
293,NYJ,,Eric Boles,WR,,Central Washington,4.68,35.5,121,4.27,,,0,0,0
294,MIA,,Lee Miles,WR,,Baylor,4.47,31.5,117,4.03,,,0,0,0
296,MIA,,Mark Barsotti,QB,,Fresno State,4.92,28.5,108,4.50,,,0,0,0
297,ATL,,Robin Jones,DE,,Baylor,5.07,28.0,108,4.41,15,,0,0,0
298,KAN,,Doug Rigby,DE,,Wyoming,5.29,26.0,111,4.45,13,,0,0,0
305,DEN,4.0,Cedric Tillman,WR,22,Alcorn State,4.81,31.5,114,4.40,,52,0,0,0
307,BUF,3.0,Vince Marrow,TE,24,Toledo,4.79,32.0,112,4.66,10,10,0,0,0
308,WAS,,Terry Smith,WR,,Penn State,4.75,34.0,113,4.00,,,0,0,0
323,NYG,3.0,Charles Swann,WR,21,Indiana State,4.55,36.0,129,4.29,,13,0,0,0
335,BUF,,Matt Rodgers,QB,,Iowa,4.98,26.5,110,4.22,,,0,0,0
11,DEN,8.0,Dan Williams,DE,23,Toledo,4.89,33.5,114,4.62,21,87,0,0,2
16,IND,9.0,Sean Dawkins,WR,22,California,4.61,32.0,119,4.00,,140,0,0,7
17,WAS,9.0,Tom Carter,DB,21,Notre Dame,4.45,43.0,135,4.18,17,118,0,0,6
20,NOR,7.0,Irv Smith,TE,21,Notre Dame,4.81,31.5,118,4.46,16,95,0,0,5
21,MIN,8.0,Robert Smith,RB,21,Ohio State,4.47,39.0,134,4.03,16,98,0,2,6
22,SDG,10.0,Darrien Gordon,DB,22,Stanford,4.42,37.5,127,,12,138,0,0,3
23,PIT,6.0,Deon Figures,DB,23,Colorado,4.62,34.5,121,4.20,13,93,0,0,2
24,PHI,2.0,Leonard Renfro,DT,23,Colorado,5.09,25.0,106,4.71,22,23,0,0,0
26,SFO,11.0,Dana Stubblefield,DT,22,Kansas,4.99,29.5,109,4.74,22,154,1,3,9
27,SFO,4.0,Todd Kelly,LB,22,Tennessee,4.83,,,,20,45,0,0,0
28,BUF,9.0,Thomas Smith,DB,22,North Carolina,4.59,41.5,134,4.09,,137,0,0,7
30,SEA,8.0,Carlton Gray,DB,22,UCLA,4.51,35.0,122,4.34,10,102,0,0,4
35,CHI,6.0,Carl Simpson,DT,23,Florida State,4.96,28.0,106,4.63,17,87,0,0,2
36,NYJ,4.0,Coleman Rudolph,DE,22,Georgia Tech,4.90,29.5,113,4.10,32,48,0,0,0
39,RAM,8.0,Troy Drayton,TE,23,Penn State,4.66,31.5,108,4.36,28,122,0,0,6
40,NYG,15.0,Michael Strahan,DE,21,Texas Southern,4.94,32.5,120,4.47,25,216,4,7,14
42,CLE,6.0,Dan Footman,DE,24,Florida State,4.77,31.5,112,4.61,,69,0,0,2
44,PIT,15.0,Chad Brown,LB,23,Mississippi,5.13,29.5,111,4.62,19,188,2,3,12
199,PHO,3.0,Chad Brown,DE,22,Mississippi,5.13,29.5,111,4.62,19,18,0,0,0
46,DAL,8.0,Kevin Williams,WR,22,Miami (FL),4.49,35.5,123,4.61,,121,0,0,2
46,DAL,8.0,Kevin Williams,WR,22,UCLA,4.44,41.5,137,4.11,17,121,0,0,2
126,DEN,1.0,Kevin Williams,RB,23,Miami (FL),4.49,35.5,123,4.61,,3,0,0,0
126,DEN,1.0,Kevin Williams,RB,23,UCLA,4.44,41.5,137,4.11,17,3,0,0,0
48,SFO,3.0,Adrian Hardy,DB,23,Northwestern State (LA),4.59,,,,10,36,0,0,0
50,PHI,4.0,Victor Bailey,WR,23,Missouri,4.57,35.0,114,4.16,,34,0,0,1
52,MIN,10.0,Qadry Ismail,WR,22,Syracuse,4.49,35.0,119,,,137,0,0,4
55,BUF,12.0,John Parrella,DT,23,Nebraska,5.00,29.0,102,4.44,29,172,0,0,7
56,NWE,8.0,Vincent Brisby,WR,22,Louisiana-Monroe,4.49,36.0,128,4.04,,86,0,0,3
58,RAI,7.0,Billy Joe Hobert,QB,22,Washington,4.89,30.5,109,4.29,,29,0,0,0
60,TAM,6.0,Lamar Thomas,WR,23,Miami (FL),4.58,34.0,117,,,73,0,0,1
61,CHI,8.0,Chris Gedney,TE,23,Syracuse,4.83,30.5,110,4.39,18,73,0,0,0
63,CIN,8.0,Ty Parten,DE,23,Arizona,5.08,33.0,112,4.30,22,62,0,0,0
65,IND,12.0,Ray Buchanan,DB,21,Louisville,4.50,36.0,127,4.00,10,184,0,1,10
72,RAI,11.0,James Trapp,DB,23,Clemson,4.40,36.5,120,4.30,10,149,0,0,1
73,RAM,1.0,Russell White,RB,22,California,4.61,36.0,113,4.28,,5,0,0,0
75,PHI,4.0,Derrick Frazier,DB,23,Texas A&M,4.52,,,,,25,0,0,0
78,MIA,10.0,Terry Kirby,RB,23,Virginia,4.64,38.0,120,4.14,18,110,0,0,2
79,MIN,11.0,Gilbert Brown,DT,22,Kansas,5.12,23.0,104,4.84,24,125,0,0,7
84,DAL,,Mike Middleton,DB,,Indiana,4.67,36.5,125,4.14,12,,0,0,0
86,NWE,5.0,Kevin Johnson,DT,22,Texas Southern,5.07,26.5,109,4.75,33,38,0,0,1
90,CIN,1.0,Marcello Simmons,DB,22,Southern Methodist,4.58,39.5,133,4.36,2,16,0,0,0
95,SDG,12.0,Raylee Johnson,DE,23,Arkansas,4.93,36.5,128,4.23,13,159,0,0,3
98,DEN,17.0,Jeff Robinson,TE,23,Idaho,4.94,32.0,116,4.20,20,202,0,0,1
102,HOU,3.0,Travis Hannah,WR,23,Southern California,4.43,32.0,114,4.10,,37,0,0,0
104,TAM,6.0,Horace Copeland,WR,22,Miami (FL),4.63,43.5,130,,,60,0,0,2
108,PIT,8.0,Kevin Henry,DE,24,Mississippi State,5.19,28.0,104,4.86,,117,0,0,5
109,NOR,4.0,Derek Brown,RB,22,Nebraska,4.63,38.0,127,3.91,13,56,0,0,2
